資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,00BD5M6702,IE00BD5M6702,紐約梅隆美國股票收益基金-美元A配息,股票型,一般型,全球,已開發市場,美元,合作金庫證券投資信託股份有限公司,BNY MELLON FUND MANAGEMENT (LUXEMBOURG) S.A.,20241203,1.2847
20241207,00BD5M6819,IE00BD5M6819,紐約梅隆美國股票收益基金-美元A累積,股票型,一般型,全球,已開發市場,美元,合作金庫證券投資信託股份有限公司,BNY MELLON FUND MANAGEMENT (LUXEMBOURG) S.A.,20241203,1.4223
20241207,00BD5M6V48,IE00BD5M6V48,紐約梅隆美國股票收益基金-美元C配息,股票型,一般型,全球,已開發市場,美元,合作金庫證券投資信託股份有限公司,BNY MELLON FUND MANAGEMENT (LUXEMBOURG) S.A.,20241203,1.8412
20241207,150,LU0366776432,富蘭克林坦伯頓全球投資系列－公司債基金美元I(acc)股,固定收益型,非投資等級債券,單一國家,美國,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,25.77
20241207,290,LU0260871552,富蘭克林坦伯頓全球投資系列-歐洲中小型企業基金美元A (acc)股,股票型,中小型,區域,已開發歐洲,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,45.82
20241207,291,LU0260871636,富蘭克林坦伯頓全球投資系列－歐洲中小型企業基金美元I(acc)股,股票型,中小型,區域,已開發歐洲,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,58.31
20241207,352,LU0231790832,富蘭克林坦伯頓全球投資系列-日本基金美元A (acc)股,股票型,一般型,單一國家,日本,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,10.81
20241207,355,LU0231791996,富蘭克林坦伯頓全球投資系列－日本基金美元I(acc)股,股票型,一般型,單一國家,日本,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,15.07
20241207,358,LU0231793349,富蘭克林坦伯頓全球投資系列-東歐基金美元A (acc)股,股票型,一般型,區域,新興歐洲,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,16.03
20241207,361,LU0231203729,富蘭克林坦伯頓全球投資系列-印度基金美元A(acc)股,股票型,一般型,單一國家,印度,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,73.18
20241207,366,LU0231204701,富蘭克林坦伯頓全球投資系列－印度基金美元I(acc)股,股票型,一般型,單一國家,印度,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,86.68
20241207,375,LU0229948087,富蘭克林坦伯頓全球投資系列－全球房地產基金美元A(acc)股,股票型,房地產/或不動產證券化,全球,已開發市場,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,13.62
20241207,376,LU0229948244,富蘭克林坦伯頓全球投資系列－全球房地產基金美元A(Qdis)股,股票型,房地產/或不動產證券化,全球,已開發市場,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,9.01
20241207,381,LU0229949309,富蘭克林坦伯頓全球投資系列－全球房地產基金美元I(acc)股,股票型,房地產/或不動產證券化,全球,已開發市場,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,16.1
20241207,384,LU0229949994,富蘭克林坦伯頓全球投資系列-亞洲債券基金美元A(acc)股,固定收益型,新興市場債,區域,亞洲太平洋(含日本),美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,15.84
20241207,385,LU0229950067,富蘭克林坦伯頓全球投資系列-亞洲債券基金美元A(Mdis)股,固定收益型,新興市場債,區域,亞洲太平洋(含日本),美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,7.54
20241207,390,LU0229951032,富蘭克林坦伯頓全球投資系列－亞洲債券基金美元I(acc)股,固定收益型,新興市場債,區域,亞洲太平洋(含日本),美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,17.6
20241207,417,LU0269667100,富蘭克林坦伯頓全球投資系列－美國政府基金美元I(acc)股,固定收益型,政府債,單一國家,美國,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,14.41
20241207,419,LU0300736062,富蘭克林坦伯頓全球投資系列-天然資源基金美元A(acc)股,股票型,天然資源,全球,混合,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,8.6
20241207,424,LU0300736906,富蘭克林坦伯頓全球投資系列－天然資源基金美元I(acc)股,股票型,天然資源,全球,混合,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,10
20241207,426,LU0300737037,富蘭克林坦伯頓全球投資系列-精選收益基金美元A(acc)股,固定收益型,一般型(未設定條件),全球,混合,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,17.08
20241207,427,LU0300737201,富蘭克林坦伯頓全球投資系列-精選收益基金美元A(Mdis)股,固定收益型,一般型(未設定條件),全球,混合,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓國際服務有限公司 /FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,20241205,8.12
